title,story_tri_part_text,acceptance_criteria,ac_readability_score,conversation,backlog_parent,convo_readability_score,autoscoring_on,archive_indicator,readiness_quality_score,story_points,user_story_status,User_story_type,ar_user,owner,created_by,created_dt,updated_dt,updated_by,organization_name,attachments
None,,,0.0,,None,0.0,False,False,0.0,None,None,None,None,None,Praveen,2020-02-21 06:46:04.814720+00:00,2020-02-21 06:46:04.814711+00:00,Praveen,Digimonk Organization,/media/None
Enroll Partner,As a Partner Manager I want to enroll a qualified partner,,0.0,,Mmasters API Pilot (example),0.0,True,False,63.0,5,Pending,Discovery,Sagar Shrivastava,Sagar Shrivastava,Praveen,2020-02-21 09:58:28.871375+00:00,2020-02-21 09:58:28.871365+00:00,Praveen,Digimonk Organization,/media/None
Disenroll Partner,As a proxy-test-partner-user I want to display so that I can recieve an audit,subject,36.0,subject,Mmasters API Pilot (example),36.0,True,True,80.0,2,Pending,Non-Functional Requirement,Ravi Baghel,Praveen,Praveen,2020-02-21 10:05:00.316366+00:00,2020-02-21 10:45:20.677091+00:00,Praveen,Digimonk Organization,/media/None
Disenroll Partner-1,As a Eagle I want to glide so that I can manage partners,testing,36.0,,Mmasters API Pilot (example),0.0,True,False,88.0,5,Ideation,Non-Functional Requirement,Sagar Shrivastava,Praveen,Praveen,2020-02-21 10:06:20.193412+00:00,2020-02-21 10:46:00.812174+00:00,Praveen,Digimonk Organization,/media/None
Disenroll Partner-2,As a Partner Manager I require disenrollment so that I can manage partners,,0.0,,Mmasters API Pilot (example),0.0,True,False,78.0,None,Not Ready,Discovery,Sagar Shrivastava,Praveen,Praveen,2020-02-21 10:07:32.533805+00:00,2020-02-21 10:46:27.586397+00:00,Praveen,Digimonk Organization,/media/None
Submit Rpt,As a proxy-test-partner-user I want to select a Type1 report so that I can send it,,0.0,,Mmasters API Pilot (example),0.0,True,False,75.0,None,Pending,Non-Functional Requirement,Sagar Shrivastava,Praveen,Praveen,2020-02-21 10:11:09.849487+00:00,2020-02-21 10:46:43.934947+00:00,Praveen,Digimonk Organization,/media/None
Submit Rpt -1,As a proxy-test-partner-user I want to display available Type1 reports so that I can select which to review before sending,,0.0,,Mmasters API Pilot (example),0.0,True,False,70.0,None,Ideation,Non-Functional Requirement,Sagar Shrivastava,Praveen,Praveen,2020-02-21 10:12:04.913837+00:00,2020-02-21 10:47:06.565995+00:00,Praveen,Digimonk Organization,/media/None
Submit Rpt -2,As a proxy-test-partner-user I want to review all sent Type1 reports for a custom time period so that I can support an audit,,0.0,,Mmasters API Pilot (example),0.0,True,False,70.0,None,Pending,Non-Functional Requirement,Sagar Shrivastava,Praveen,Praveen,2020-02-21 10:20:58.883421+00:00,2020-02-21 10:47:42.419428+00:00,Praveen,Digimonk Organization,/media/None
Submit Rpt -3,As a proxy-test-partner-user I want to review all sent Type1 reports for a custom time period so that I can receive an audit,,0.0,,Mmasters API Pilot (example),0.0,True,False,70.0,None,Not Ready,Functional,Sagar Shrivastava,Praveen,Praveen,2020-02-21 10:21:57.934084+00:00,2020-02-21 10:21:57.934072+00:00,Praveen,Digimonk Organization,/media/None
Bird takes flight,Bird,,0.0,,Backlog One for P1 (example),0.0,True,False,15.0,None,Pending,Non-Functional Requirement,Ravi Baghel,Praveen,Praveen,2020-02-21 10:23:34.293936+00:00,2020-02-21 10:49:17.487743+00:00,Praveen,Digimonk Organization,/media/None
Enroll Partner-1,As a Partner Manager I want to enroll a qualified partner so that I can access new FedReserve reporting screens,,0.0,,Mmasters API Pilot (example),0.0,True,False,73.0,None,Pending,Discovery,Sagar Shrivastava,Sagar Shrivastava,Praveen,2020-02-21 10:44:28.902783+00:00,2020-02-21 10:44:28.902769+00:00,Praveen,Digimonk Organization,/media/None
Bird takes flight-1,As a Bird takes flight,,0.0,,Backlog One for P1 (example),0.0,True,False,30.0,None,Not Ready,Non-Functional Requirement,Sagar Shrivastava,Praveen,Praveen,2020-02-21 10:50:50.431631+00:00,2020-02-21 10:50:50.431625+00:00,Praveen,Digimonk Organization,/media/None
Bird takes flight-2,As a Bird I want to flap my wings,,0.0,,Backlog One for P1 (example),0.0,True,False,55.0,None,Ideation,Discovery,Praveen,Praveen,Praveen,2020-02-21 10:52:28.774313+00:00,2020-02-21 10:52:28.774297+00:00,Praveen,Digimonk Organization,/media/None
Bird takes flight-3,As a Bird I want to flap my wings so that I can fly,,0.0,,Backlog One for P1 (example),0.0,True,False,65.0,None,Not Ready,Discovery,Sagar Shrivastava,Praveen,Praveen,2020-02-21 10:53:11.199956+00:00,2020-02-21 10:53:11.199951+00:00,Praveen,Digimonk Organization,/media/None
Bird takes flight-5,As a Bird I want to flap my wings so that I can fly and beyond that perform flips and dives and flock together with other  birds,,0.0,,Backlog One for P1 (example),0.0,True,False,70.0,None,Pending,Discovery,Sagar Shrivastava,Praveen,Praveen,2020-02-21 10:55:07.422846+00:00,2020-02-21 10:55:07.422841+00:00,Praveen,Digimonk Organization,/media/None
Eagle Soars,As an Eagle,,0.0,,Backlog for P2 (example),0.0,True,False,40.0,None,Pending,Discovery,Ravi Baghel,Praveen,Praveen,2020-02-21 10:57:12.682388+00:00,2020-02-21 10:57:12.682373+00:00,Praveen,Digimonk Organization,/media/None
Eagle Soars-1,As an Eagle I want to glide,,0.0,,Backlog for P2 (example),0.0,True,False,65.0,None,Pending,Discovery,Sagar Shrivastava,Praveen,Praveen,2020-02-21 10:58:27.482715+00:00,2020-02-21 10:58:27.482706+00:00,Praveen,Digimonk Organization,/media/None
Eagle Soars-2,As an Eagle I need to glide so that I can soar,,0.0,,Backlog for P2 (example),0.0,True,False,80.0,None,Active,Non-Functional Requirement,Sagar Shrivastava,Praveen,Praveen,2020-02-21 11:01:21.150993+00:00,2020-02-21 11:01:21.150988+00:00,Praveen,Digimonk Organization,/media/None
Eagle Soars-3,As an Eagle I want to glide so that I can soar and survey the lakes and mountains,,0.0,,Backlog for P2 (example),0.0,True,False,75.0,None,Ideation,Functional,Ravi Baghel,Praveen,Praveen,2020-02-21 11:02:02.977119+00:00,2020-02-21 11:02:02.977108+00:00,Praveen,Digimonk Organization,/media/None
